Appid,name,header_image,,developer,,,,categories,genres,steamspy_tags,,positive_ratings,negative_ratings,,median_playtime,,price
730,Counter-Strike: Global Offensive,https://steamcdn-a.akamaihd.net/steam/apps/730/header.jpg?t=1554409309,,Valve;Hidden Path Entertainment,,,,Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats,Action;Free to Play,FPS;Multiplayer;Shooter,,2644404,402313,,6502,,0
570,Dota 2,https://steamcdn-a.akamaihd.net/steam/apps/570/header.jpg?t=1554408611,,Valve,,,,Multi-player;Co-op;Steam Trading Cards;Steam Workshop;SteamVR Collectibles;In-App Purchases;Valve Anti-Cheat enabled,Action;Free to Play;Strategy,Free to Play;MOBA;Strategy,,863507,142079,,801,,0
440,Team Fortress 2,https://steamcdn-a.akamaihd.net/steam/apps/440/header.jpg?t=1539304875,,Valve,,,,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;In-App Purchases;Partial Controller Support;Valve Anti-Cheat enabled;Stats;Includes level editor;Commentary available,Action;Free to Play,Free to Play;Multiplayer;FPS,,515879,34036,,623,,0
4000,Garry's Mod,https://steamcdn-a.akamaihd.net/steam/apps/4000/header.jpg?t=1535986052,,Facepunch Studios,,,,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor,Indie;Simulation,Sandbox;Multiplayer;Funny,,363721,16433,,1875,,6.99
271590,Grand Theft Auto V,https://steamcdn-a.akamaihd.net/steam/apps/271590/header.jpg?t=1544815097,,Rockstar North,,,,Single-player;Multi-player;Steam Achievements;Full controller support,Action;Adventure,Open World;Action;Multiplayer,,329061,139308,,4834,,24.99
218620,PAYDAY 2,https://steamcdn-a.akamaihd.net/steam/apps/218620/header.jpg?t=1541531328,,OVERKILL - a Starbreeze Studio.,,,,Single-player;Multi-player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases,Action;RPG,Co-op;Action;FPS,,308657,56523,,890,,7.49
304930,Unturned,https://steamcdn-a.akamaihd.net/steam/apps/304930/header.jpg?t=1540101174,,Smartly Dressed Games,,,,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Steam Trading Cards;VR Support;Steam Workshop;In-App Purchases;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes level editor,Action;Adventure;Casual;Free to Play;Indie,Free to Play;Survival;Zombies,,292574,31482,,413,,0
105600,Terraria,https://steamcdn-a.akamaihd.net/steam/apps/105600/header.jpg?t=1548954652,,Re-Logic,,,,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie;RPG,Sandbox;Adventure;Survival,,255600,7797,,1840,,6.99
550,Left 4 Dead 2,https://steamcdn-a.akamaihd.net/steam/apps/550/header.jpg?t=1540300687,,Valve,,,,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK;Commentary available,Action,Zombies;Co-op;FPS,,251789,8418,,566,,7.19
359550,Tom Clancy's Rainbow Six® Siege,https://steamcdn-a.akamaihd.net/steam/apps/359550/header.jpg?t=1555496925,,Ubisoft Montreal,,,,Single-player;Multi-player;Co-op;Steam Trading Cards;In-App Purchases;Partial Controller Support,Action,FPS;Multiplayer;Tactical,,251178,59620,,2543,,16.99
252950,Rocket League®,https://steamcdn-a.akamaihd.net/steam/apps/252950/header_alt_assets_6.jpg?t=1556125255,,"Psyonix, Inc.",,,,Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats,Action;Indie;Racing;Sports,Multiplayer;Racing;Soccer,,242561,21816,,1462,,14.99
72850,The Elder Scrolls V: Skyrim,https://steamcdn-a.akamaihd.net/steam/apps/72850/header.jpg?t=1493767797,,Bethesda Game Studios,,,,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud,RPG,Open World;RPG;Fantasy,,237303,14951,,3885,,9.99
230410,Warframe,https://steamcdn-a.akamaihd.net/steam/apps/230410/header.jpg?t=1553809925,,Digital Extremes,,,,Single-player;Multi-player;Co-op;Steam Trading Cards;In-App Purchases;Partial Controller Support,Action;Free to Play,Free to Play;Action;Co-op,,226541,20268,,394,,0
252490,Rust,https://steamcdn-a.akamaihd.net/steam/apps/252490/header.jpg?t=1549762598,,Facepunch Studios,,,,Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats,Action;Adventure;Indie;Massively Multiplayer;RPG,Survival;Crafting;Multiplayer,,220370,53709,,2234,,27.79
292030,The Witcher® 3: Wild Hunt,https://steamcdn-a.akamaihd.net/steam/apps/292030/header.jpg?t=1550078557,,CD PROJEKT RED,,,,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,RPG,Open World;RPG;Story Rich,,202930,4798,,2002,,24.99
227300,Euro Truck Simulator 2,https://steamcdn-a.akamaihd.net/steam/apps/227300/header.jpg?t=1554074776,,SCS Software,,,,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor,Indie;Simulation,Simulation;Driving;Open World,,176769,5825,,1413,,14.99
444090,Paladins®,https://steamcdn-a.akamaihd.net/steam/apps/444090/header.jpg?t=1554212223,,Evil Mojo Games,,,,Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;In-App Purchases;Partial Controller Support,Action;Free to Play,Free to Play;Multiplayer;FPS,,169580,32407,,407,,0
346110,ARK: Survival Evolved,https://steamcdn-a.akamaihd.net/steam/apps/346110/header_alt_assets_1.jpg?t=1555430604,,Studio Wildcard;Instinct Games;Efecto Studios;Virtual Basement LLC,,,,Single-player;Multi-player;MMO;Co-op;Steam Achievements;Full controller support;VR Support;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor,Action;Adventure;Indie;Massively Multiplayer;RPG,Survival;Open World;Multiplayer,,145035,66603,,1470,,44.99
49520,Borderlands 2,https://steamcdn-a.akamaihd.net/steam/apps/49520/header.jpg?t=1554327871,,Gearbox Software;Aspyr (Mac);Aspyr (Linux),,,,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;RPG,FPS;Co-op;RPG,,144595,11021,,1139,,19.99
381210,Dead by Daylight,https://steamcdn-a.akamaihd.net/steam/apps/381210/header.jpg?t=1554392450,,Behaviour Digital Inc.,,,,Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action,Horror;Survival Horror;Multiplayer,,140721,44985,,585,,14.99
620,Portal 2,https://steamcdn-a.akamaihd.net/steam/apps/620/header.jpg?t=1512411524,,Valve,,,,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Stats;Includes level editor;Commentary available,Action;Adventure,Puzzle;Co-op;First-Person,,138220,1891,,520,,7.19
8930,Sid Meier's Civilization® V,https://steamcdn-a.akamaihd.net/steam/apps/8930/header.jpg?t=1545236612,,Firaxis Games;Aspyr (Mac);Aspyr (Linux),,,,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Strategy,Turn-Based Strategy;Strategy;Turn-Based,,129030,5565,,1797,,19.99
10,Counter-Strike,https://steamcdn-a.akamaihd.net/steam/apps/10/header.jpg?t=1528733245,,Valve,,,,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,,124534,3339,,317,,7.19
319630,Life is Strange - Episode 1,https://steamcdn-a.akamaihd.net/steam/apps/319630/header.jpg?t=1549968253,,DONTNOD Entertainment;Feral Interactive (Mac);Feral Interactive (Linux),,,,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure,Story Rich;Choices Matter;Great Soundtrack,,118634,4496,,145,,0
221100,DayZ,https://steamcdn-a.akamaihd.net/steam/apps/221100/header.jpg?t=1547207880,,Bohemia Interactive,,,,Multi-player;Online Multi-Player;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled,Action;Adventure;Massively Multiplayer,Survival;Zombies;Open World,,118435,77169,,2798,,33.99
413150,Stardew Valley,https://steamcdn-a.akamaihd.net/steam/apps/413150/header.jpg?t=1551466649,,ConcernedApe,,,,Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Indie;RPG;Simulation,RPG;Simulation;Pixel Graphics,,118217,3761,,1728,,10.99
